	Count	Precision	Recall	F-Score		Bigrams	Train	Test
1000	0.971161	0.591924	0.735537			1000	0.971161	0.660287
2000	0.953799	0.745368	0.8368			3000	0.941306	0.597015
3000	0.941306	0.815202	0.873727			10000	0.900045	0.535912
4000	0.932682	0.862233	0.896075			16000	0.938086	0.568627
5000	0.924444	0.889311	0.906538			30000	0.959265	0.575758
6000	0.919579	0.912589	0.916071					
7000	0.909981	0.926841	0.918334					
8000	0.904435	0.939667	0.921715					
9000	0.891111	0.952494	0.920781					
10000	0.900045	0.953919	0.926199					
11000	0.917507	0.951069	0.933986					
12000	0.917507	0.951069	0.933986					
13000	0.923858	0.951069	0.937266					
14000	0.923858	0.951069	0.937266					
15000	0.93633	0.950119	0.943174					
16000	0.938086	0.950119	0.944064					
16200	0.938086	0.950119	0.944064					
16225	0.93797	0.948219	0.943066					
16250	0.938411	0.948219	0.943289					
16300	0.938411	0.948219	0.943289					
16500	0.938824	0.947743	0.943262					
17000	0.940038	0.945843	0.942932					
18000	0.940618	0.940618	0.940618					
19000	0.943649	0.938717	0.941176					
20000	0.945455	0.938717	0.942074					
21000	0.946988	0.933492	0.940191					
22000	0.949251	0.933017	0.941064					
23000	0.951066	0.932542	0.941713					
24000	0.951918	0.931116	0.941402					
25000	0.954169	0.929691	0.941771					
26000	0.955012	0.927791	0.941205					
27000	0.955774	0.92399	0.939614					
28000	0.957058	0.92114	0.938756					
29000	0.958952	0.92114	0.939666					
30000	0.959265	0.91734	0.937834					
31000	0.959184	0.915439	0.936801					
32000	0.932995	0.873159	0.902086					
33000	0.878958	0.817577	0.847157					
34000	0.859559	0.796675	0.826923					
35000	0.744393	0.75677	0.75053					
36000	0.71929	0.770546	0.744037					
